                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60684,                 0.4498,                 1.0093,                0.99542,                      1,                  0.995,                0.90476,                0.47151,                0.28293,                0.86241,              0.0004387,              0.0004387,              0.0004387
                     37,                0.63242,                0.46755,                 1.0374,                0.99509,                      1,                  0.995,                0.89904,                 0.4643,                0.29719,                0.84813,             0.00041041,             0.00041041,             0.00041041
                     38,                0.58294,                0.44698,                 1.0167,                0.97243,                      1,                  0.995,                0.87813,                0.47304,                 0.3105,                0.84695,             0.00038211,             0.00038211,             0.00038211
                     39,                0.60395,                0.44974,                 1.0305,                0.99346,                      1,                  0.995,                0.91915,                0.40754,                0.27262,                0.82452,             0.00035382,             0.00035382,             0.00035382
                     40,                0.58473,                0.44414,                 1.0006,                0.99387,                      1,                  0.995,                0.91748,                0.39906,                0.26749,                0.81616,             0.00032553,             0.00032553,             0.00032553
                     41,                0.45842,                0.34024,                0.93762,                0.99432,                      1,                  0.995,                0.89988,                0.44927,                0.30125,                0.84728,             0.00029723,             0.00029723,             0.00029723
                     42,                0.47383,                0.32104,                 0.9489,                0.99445,                      1,                  0.995,                0.91917,                 0.4248,                0.27958,                0.82794,             0.00026894,             0.00026894,             0.00026894
                     43,                0.44244,                0.30968,                0.92113,                0.99402,                      1,                  0.995,                0.92562,                0.42385,                0.25704,                0.82391,             0.00024064,             0.00024064,             0.00024064
                     44,                0.42472,                0.28573,                0.91208,                0.99281,                      1,                  0.995,                0.92453,                0.43992,                0.27633,                0.83183,             0.00021235,             0.00021235,             0.00021235
                     45,                0.41934,                0.27017,                0.92079,                0.99379,                      1,                  0.995,                0.92584,                0.39144,                 0.2416,                0.80683,             0.00018406,             0.00018406,             0.00018406
                     46,                0.41412,                0.26916,                0.89446,                 0.9951,                      1,                  0.995,                0.92802,                0.40089,                0.25719,                0.81299,             0.00015576,             0.00015576,             0.00015576
                     47,                0.40146,                0.26338,                0.89254,                0.99548,                      1,                  0.995,                0.93272,                0.35858,                0.24264,                0.79534,             0.00012747,             0.00012747,             0.00012747
                     48,                0.37823,                0.24878,                 0.8908,                0.99531,                      1,                  0.995,                0.94202,                0.33865,                0.23247,                0.78866,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.37541,                0.24864,                0.88576,                0.99575,                      1,                  0.995,                0.93568,                0.33469,                0.23179,                0.78541,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.38075,                0.24691,                0.88175,                  0.996,                      1,                  0.995,                0.94457,                0.32524,                0.22414,                0.78125,             4.2584e-05,             4.2584e-05,             4.2584e-05
